rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
937;PUBLIC;95;CHAUVRY;2;1;0;44.5;PUB_MAIRIE, PUB_ECOLE
938;PUBLIC;95;HEROUVILLE-EN-VEXIN;2;1;0;44.5;PUB_MAIRIE, PUB_ECOLE
939;PUBLIC;95;LE PLESSIS-LUZARCHES;2;1;0;44.5;PUB_MAIRIE, PUB_ECOLE
940;PUBLIC;95;LIVILLIERS;2;1;0;44.5;PUB_MAIRIE, PUB_ECOLE
941;PUBLIC;77;PROVINS;22;8;0;44.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
942;PUBLIC;91;SAINT-GERMAIN-LES-CORBEIL;7;3;0;44.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
943;PUBLIC;77;BOIS-LE-ROI;6;3;0;44.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
944;PUBLIC;77;LA FERTE-SOUS-JOUARRE;6;1;0;44.2;PUB_MAIRIE, PUB_ECOLE
945;PRIVE;75;PARIS 17;19;19;0;44.1;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
946;PRIVE;92;BOIS COLOMBES;8;8;0;44.0;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE
947;PUBLIC;77;SAINT-MAMMES;5;2;0;44.0;PUB_MAIRIE, PUB_ECOLE
948;PUBLIC;78;BONNELLES;5;2;0;44.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
949;PRIVE;92;FONTENAY AUX ROSES;12;12;0;43.9;PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
950;PRIVE;75;PARIS 09;8;8;0;43.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT
